,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,di+,di-,back,deal,result
0,2016-08-29,575.41,617.13,568.12,611.92,37.03620920876171,0.0,green,long,1.6660511177931756
1,2017-03-13,1235.27,1277.27,919.44,1019.49,10.111346301698266,12.84406424242048,red,short,0.8418788244134867
2,2017-03-04,1113.23,1221.0,1112.24,1210.97,26.414490504165144,10.093367720199828,green,long,0.9727656341610444
3,2017-10-04,1210.99,1234.0,900.0,1177.99,14.559207237897706,40.89775396344958,red,short,0.8508107327290456
4,2017-04-24,1251.91,1394.51,1246.31,1384.55,33.52287114565794,19.15046726668508,green,long,1.8176736123650283
5,2017-06-26,2505.61,2605.0,2258.34,2516.66,15.685624482158794,23.183885568422305,red,short,0.7810329524365189
6,2017-07-31,2723.99,3335.0,2650.0,3222.22,34.48395037525962,12.258459866636004,green,long,1.132762505353452
7,2017-11-09,4251.36,4375.37,2975.01,3650.01,17.05204138655223,47.345356146045454,red,short,0.7928788810228762
8,2017-02-10,4394.81,4612.0,4150.01,4603.49,33.8371461607958,22.174827062170735,green,long,3.089382186124006
9,2017-12-18,19378.99,19385.0,10400.0,14221.94,21.436085168469578,21.82007341723929,red,short,0.8792968068939337
10,2018-01-01,13863.14,17178.0,12952.5,16174.22,16.311083791733527,12.531732693459627,green,long,0.7121314041728133
11,2018-01-15,13656.23,14253.0,9017.42,11518.17,9.639156139374034,37.432227809316714,red,short,1.2003820572731574
12,2018-02-19,10380.04,11775.0,9324.75,9595.42,23.757475709123824,23.51355666910311,green,long,0.99358652357062
13,2018-05-03,11469.9,11645.36,8370.0,9533.88,12.014040628115492,25.119660575241774,red,short,1.0840101375666429
14,2018-04-16,8355.24,9038.87,7822.0,8795.01,32.81432079492467,20.115166319572197,green,long,0.9876168418228064
15,2018-07-05,9600.0,9619.55,8223.43,8686.1,22.68380335130172,23.020599604701488,red,short,1.1741463678390873
16,2018-07-16,6348.73,7687.0,6330.3,7397.8,38.53940786601408,13.628570947460409,green,long,0.8537686879883208
17,2018-06-08,7030.0,7163.0,6003.0,6316.01,18.03603046928558,35.938261796849815,red,short,0.8657998629198081
18,2018-08-27,6709.98,7328.36,6654.13,7295.0,38.748217845610505,21.03081153430539,green,long,0.8546963673749144
19,2018-03-09,7294.99,7402.5,6116.0,6235.01,20.41202915279852,31.58932527047379,red,short,0.9310167702206514
20,2018-09-17,6498.0,6823.0,6106.37,6696.99,19.989431481594984,15.30751298195742,green,long,0.9233237618691382
21,2018-08-10,6569.99,6681.19,6033.34,6183.49,10.509715240837586,35.008873903739094,red,short,1.61490989814573
22,2018-12-24,3944.92,4239.37,3567.0,3829.0,21.75233206420988,21.61874878677139,green,long,0.9177957691303211
23,2019-07-01,4040.98,4114.8,3481.54,3514.24,11.615204468131381,19.655237351823075,red,short,0.9631115642231503
24,2019-04-02,3415.69,3711.0,3340.8,3648.84,26.92335471614522,18.95162109381471,green,long,2.8270573661766476
25,2019-12-08,11540.76,11555.55,9470.0,10315.48,27.30054712766574,34.381717157195986,red,short,1.0802861918306306
26,2019-10-21,8235.94,10540.49,7296.44,9548.84,46.5937093958498,9.286999214535395,green,long,0.7235056823656068
27,2019-11-18,8501.0,8501.01,6775.47,6908.64,13.41194324310037,59.429489096562925,red,short,0.8444933936859553
28,2020-06-01,7355.4,8469.39,7343.17,8180.81,45.13211165343951,19.068677608759575,green,long,1.0417440326813603
29,2020-02-24,9965.0,10030.0,8400.0,8522.31,17.16050376426736,31.57112491668891,red,short,1.1058743382123948
30,2020-04-20,7130.7,7775.0,6748.72,7706.4,25.429565688798533,24.17392907221479,green,long,1.3310832554759682
31,2020-08-31,11716.0,12086.0,9813.0,10257.86,14.002176914999085,35.88750937690981,red,short,0.9392879151790743
32,2020-09-14,10336.76,11179.9,10253.0,10920.89,21.535881119986534,16.546031634772696,green,long,5.152914277133092
33,2021-12-04,59983.66,64899.0,51300.0,56274.41,13.710758481152125,20.901001406653208,red,short,1.4116099646284836
34,2021-07-26,35428.25,42605.64,35251.54,39865.41,43.902554816220075,17.279889449291623,green,long,1.1544903213086233
35,2021-06-09,51789.17,52944.96,42830.77,46024.23,16.802503641475845,20.164479207320433,red,short,0.8415392939143213
36,2021-04-10,48233.99,56545.24,46916.7,54690.53,35.440212511882976,9.643938776836448,green,long,1.0727855444077796
37,2021-11-15,65505.03,66339.9,55625.0,58671.21,26.293385513857043,33.528761036367385,red,short,1.3944438251797564
38,2022-07-02,42416.06,45855.0,41678.79,42074.99,34.82586495872599,19.653670471711056,green,long,0.9123954634332653
39,2022-02-14,42073.37,44775.96,38000.0,38389.03,22.218199010025142,33.66522288716894,red,short,0.9994962036930483
40,2022-02-28,37716.57,45426.45,37455.71,38408.38,33.02959679787523,24.402188983123768,green,long,1.0332000464481972
41,2022-11-04,42165.96,42424.14,39204.59,39683.54,20.045413097122182,37.70585562503654,red,short,1.7571972016651147
42,2022-07-18,20791.74,24287.13,20755.95,22583.43,32.4121489891459,20.89082302682345,green,long,
